Date	Headline	Stock Difference	True Label	Predicted Label	Correlation
3/26/2019	After Boeing Crashes, Sharp Questions About Industry Regulating Itself	-5.2	0	0	0.800510064531605
3/26/2019	Southwest Boeing 737 Max Makes Emergency Landing After Engine Trouble	-5.2	0	0	0.7641082953988955
3/26/2019	In test of Boeing Jet, pilots had 40 seconds to fix error	-5.2	0	0	0.7722427537433882
3/26/2019	Explainer - Boeing 737 MAX: What to expect at Capitol Hill, Boeing meetings	-5.2	0	0	0.6404577529843007
3/26/2019	China not taking Boeing 737 Max 8 airworthiness certificate applications	-5.2	0	0	0.6578694327315803
3/26/2019	Ethiopian crash report likely to be released this week as Boeing briefs airlines	-5.2	0	0	0.6506312085909629
3/26/2019	A Boeing 737 Max 8 declared an emergency landing after an engine problem - CNN	-5.2	0	0	0.46894166646012975
3/26/2019	Boeing 737 Max 8 makes emergency landing in Orlando	-5.2	0	0	0.8863786899456264
3/26/2019	Explainer - Boeing 737 MAX: What to expect at Capitol Hill, Boeing meetings	-5.2	0	0	0.6404577529843007
3/26/2019	Factbox: What we know about Boeing 737 MAX crash and what comes next	-5.2	0	0	0.6218828575792114
3/26/2019	Exclusive: FAA says oversight needs to 'evolve' after Boeing crashes	-5.2	0	1	-0.6668639794531472
3/26/2019	Boeing 737 MAX software fix: easy to upload, harder to approve	-5.2	0	0	0.727236452852205
3/26/2019	Southwest 737 MAX 8 passenger-less flight lands safely after declaring emergency: FAA	-5.2	0	0	0.6727618608169519
3/26/2019	Exclusive: U.S. FAA to overhaul oversight approach to air safety by July	-5.2	0	1	-0.717758175937207
3/26/2019	Airbus shares rally after large Chinese order	-5.2	0	0	0.8122882420041685
3/26/2019	Futures edge higher after two sessions of declines	-5.2	0	1	-0.716799257585848
3/26/2019	Will success of historic London-Perth route help usher in an era of ultra long-haul flying?	-5.2	0	1	-0.7805459629627922
3/26/2019	Boeing had submitted software fix before Ethiopia crash	-5.2	0	0	0.7700382520598226
3/26/2019	Airbus secures multi-billion dollar jet order from China	-5.2	0	1	-0.6815743317633599
3/26/2019	Airlines keeping safety training 'to an absolute minimum'	-5.2	0	0	0.8015554827009996
3/26/2019	A Boeing 737 Max makes emergency landing at Orlando airport	-5.2	0	0	0.7509294475681197
3/26/2019	Southwest Boeing 737 Max 8 had engine emergency	-5.2	0	0	0.8143042002095421
3/26/2019	Southwest Boeing 737 Max 8 makes emergency landing	-5.2	0	0	0.8863786899456264
